repo,cve_id,ghsa_id,related_ghsa_ids,duplicate_advisory_count,severity,published_at,summary,package_ecosystems,package_names,patched_versions,cwe_ids,fix_commit_sha,fix_commit_note,fix_commit_msg,fix_commit_author,ai_in_fix_commit_msg,fix_pr_number,fix_pr_label,fix_pr_confidence,fix_pr_aidev_sourced,fix_review_count,fix_reviewer_count,fix_review_duration_hrs,fix_security_flagged_in_review
microsoft/vscode,CVE-2026-21523,GHSA-3pwg-f3hj-wp8p,GHSA-3pwg-f3hj-wp8p; GHSA-g84c-g4wq-2pwp; GHSA-w79r-pmq3-8v4f,3,high,2026-02-10,Terminal auto replies restriction,,,1.109.1,,6534f6ba7604bf324f94cc9a590727f39a4af040,Terminal: Update Auto Replies Configuration,Terminal: Update Auto Replies Configuration (#34)  Co-authored-by: meganrogge <merogge@microsoft.com>,meganrogge,0,296266,unresolved,none,0,,,,0
microsoft/vscode,CVE-2026-21518,GHSA-6xq8-9qf3-p6qv,GHSA-6xq8-9qf3-p6qv,1,low,2026-02-10,Workspace trust for MCP servers,,vscode,1.109.1,,cd11faec7b031b928bc5ec37f350d623ffb28713,"CVE-2026-21518 fix — Implemented with Opus, reviewed with Sonnet4.5 (AI-authored)","CVE-2026-21518 (MSRC#106249) (#32)  * strings: add a punycode encoding function  Reuses existing unicode constructs we have. Verified against the RFC. Implemented with Opus, reviewed with Sonnet4.5, G",jrieken,1,296266,unresolved,none,0,,,,0
microsoft/vscode,CVE-2025-21264,GHSA-742r-ggwg-vqxm,GHSA-742r-ggwg-vqxm,1,high,2025-05-13,Security Feature Bypass Vulnerability,,,1.100.1,,91fa95bccb027ece6a968589bb1d662fa9c8e170,resolved from tag 1.100.1,Engineering - update version,lszomoru,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2025-20570,GHSA-hwrx-jgf2-74hw,GHSA-hwrx-jgf2-74hw,1,high,2025-04-08,Remote Code Execution Vulnerability,vs code,,1.99.1,,7c6fdfb0b8f2f675eb0b47f3d95eeca78962565b,resolved from tag 1.99.1,Merge pull request #24 from devdiv-microsoft/aamunger/fixCleanup  clean up verification check,Aaron Munger,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2025-24039,GHSA-532g-4pv9-25f2,GHSA-532g-4pv9-25f2,1,high,2025-02-11,Elevation of Privilege Vulnerability,,,1.97.1,,e249dada235c2083c83813bd65b7f4707fb97b76,resolved from tag 1.97.1,version bump (#21),joaomoreno,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2025-24042,GHSA-f85p-3684-2g3j,GHSA-f85p-3684-2g3j,1,medium,2025-02-11,Elevation of Privilege Vulnerability,,,1.97.1,,e249dada235c2083c83813bd65b7f4707fb97b76,resolved from tag 1.97.1,version bump (#21),joaomoreno,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2024-43601,GHSA-g56j-w527-8x6f,GHSA-g56j-w527-8x6f,1,high,2024-10-08,Visual Studio Code for Linux Remote Code Execution Vulnerability,vs code,,1.94.1,,acb2ed666e6254b03ec48e3e7c0b78960ce4350d,resolved from tag 1.94.1,update to 1.94.1,bpasero,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2024-26165,GHSA-54p6-6j68-j5vr,GHSA-54p6-6j68-j5vr,1,high,2024-03-12,Elevation of Privilege Vulnerability,,,1.87.2,,863d2581ecda6849923a2118d93a088b0745d9d6,resolved from tag 1.87.2,increasing the version,aiday-mar,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2023-36742,GHSA-r6q2-478f-5gmr,GHSA-r6q2-478f-5gmr,1,high,2023-09-12,Remote Code Execution Vulnerability,,,1.82.1,,6509174151d557a81c9d0b5f8a5a1e9274db5585,resolved from tag 1.82.1,Version bump,chrmarti,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2023-39956,GHSA-5cm6-54wm-6gg6,GHSA-5cm6-54wm-6gg6,1,high,2023-09-12,Remote Code Execution Vulnerability,,,1.80.2,,2ccd690cbff1569e4a83d7c43d45101f817401dc,resolved from tag 1.80.2,chore: update builds for electron@22.3.14 (#189089),alexr00,0,189089,unresolved,none,0,,,,0
